번호,학년,장소명,주소,추천이유
3,1학년,경동 1960 작은 도서관,서울 동대문구 고산자로36길 3,부모님과 시장에서 장을 보고 힘들때 간식을 사먹고 책을 읽으며 쉴 수 있다.
4,1학년,배봉산숲속도서관,서울 동대문구 전농로16길 97,배봉산에서 산행을 한 뒤에 도서관에서 쉬면서 책을 읽을 수 있다.
5,1학년,글로벌지식협력단지,서울시 동대문구 회기로 47,1층~2층에는 우리나라 경제발전과정을 알 수 있는 전시관이 있는데 고학년들이 관심을 많이 가질 것 같아요. 1층에는 어린이체험관이 있는데 예약을 해야하나 저학년이 체험하면 좋아요. 모두 무료로 이용 가능해요
6,1학년,답십리영화미디어아트센터,서울시 동대문구 답십리로 210-9,다양한 볼거리와 체험을 할수있다
7,1학년,동대문구 답십리도서관,,"답십리도서관에는 재미있는 책들이 많다. 1층에는 카페도 있어서 빵이나 음료수도 마실 수 있다. 더운 여름에는 시원하게 앉아서 책도 읽고, 책을 읽는 많은 친구들도 볼 수 있어서 좋다."
8,1학년,빵꾸똥꾸문구야,서울 동대문구 장안동 324-9 빵꾸똥꾸문구야,아이들이 좋아하는 문구로 가득해요  학교 준비물이나 친구들 선물 사기 좋을 것 같아요
9,1학년,청량꿈숲,서울 동대문구 천호대로 47길 신답초등학교 맞은편 청량꿈숲,예쁜꽃들과 나무들이 많아요 엄마랑 둘이 산책하는게 재미있어요
10,1학년,청계한신휴플러스 놀이터,,친구들과 노는게 재미있어요 여름에도 시원해요
11,1학년,청량오락실,서울 동대문구 798 청량오락실 아트포레스점,"어머니,아버지들은 추억에 오락을 즐기고 아이들은 스트레스를 날려버릴 수 있는 옛날 재밌는 오락이 많은 곳 이다."
12,1학년,경동 1960 작은도서관,서울 동대문구 고산자로36길 3,부모님과 시장에서 장을 보고 힘들때 간식을 사먹고 책을 읽으며 쉴 수 있다.
13,1학년,다은공원,서울 동대문구 용두동 7-2 청량리 다은공원,다양한 꽃과 산책로 벤치가 있어 가족끼리 산책하며 쉴수 있는 곳 청량리 청과물시장과 가까워 구경거리도 많아서 좋아요^^
14,1학년,간데메공원,서울 동대문구 답십리동 서울시립대로2길 59 간데메공원,맨발 산책로와 황토길 넓은쉼터가 잘되어 있어 가족끼리 산책하기 좋은 공원이다.
15,1학년,청계한신휴플러스 107동 앞 놀이터,서울 동대문구 시립대로 14 청계한신휴플러스 107동앞 놀이터,캐리비안 해적선 느낌을 살린 놀이터 입니다. 놀이터위로 올라가면 배에 올라 탄 것처럼 느껴져요! 그늘 쉼터도 잘되어 있어 부모님들도 편히 쉴 수 있어요~
16,1학년,답십리 도서관,서울 동대문구 서울시립대로4길 75 동대문구 답십리 도서관,더위를 피해 다양한 도서를 읽을 수 있고 각종 문화 프로그램 참여가 가능하다
17,1학년,배봉산,서울 동대문구 휘경2동,다양한 식물과 푸른 나무 속 자연을 느끼며 운동까지 할 수 있다. 아이들이 오르기에 적당한 높이로 추천한다.
18,1학년,답십리 도서관 1층 어린이실 안쪽 방,서울 동대문구 답십리동 서울시립대로4길 75동대문구 답십리도서관 1층 어린이도서관 안쪽 방,작은 공간안에서 책을 크게 읽어줄수 있다
19,1학년,배봉산숲속도서관,서울특별시 동대문구 전농로16길 97,"시원하게 책을 읽을 수 있는 도서관이 있고, 시간이 맞을때는 그 옆에서 폭포를 볼 수 있다."
20,1학년,천호대로 힐링산책길,서울 동대문구 답십리동 천호대로,몸을 건강하게해주는 산책길이다
21,1학년,간데메공원,서울 동대문구 서울시립대로2길 59 간데메공원,여름에는 장미덤불을 감상할 수 있고 놀이터와 산책로가 있어 여름저녁 선선한 공기를 마시며 산책하기 좋다
22,1학년,청량꿈숲,서울시 동대문구 천호대로 47길,다양한 식물들이 있고 산책로 가 잘되어 있어 가족들과 또는 연인들이 산책하기 좋은 곳이다
23,1학년,청계한신휴플러스 놀이터,,아이들이 많아서 놀기가 좋아요 친구만들수있어 좋아요
24,1학년,서울약령시한의약박물관,서울특별시 동대문구 약령중앙로 26,"역사학습, 체험학습, 문화학습"
25,1학년,간데메공원,서울 동대문구 답십리동 서울시립대로2길 59 간데메공원,공원에 연못이 있어요. 연못에 개구리와 올챙이가 있어요.
26,1학년,청량리 그라시엘 공원,서울 동대문구 고산자로 32길 78 청량리 그라시엘 공원,산책로가 잘되어 있어요  큰 건물들이 많이 있어 바람 잘 불어 시원해요^^
28,1학년,책마당 도서관,서울 동대문구 천호대로 145 책마당 도서관,더위와 추위를 피할 수 있고 다양한 책들이 많으며 주위에 식물들도 많다. 책을 읽으며 중간중간 식물들도과 다양한 활동들도 가능하다
29,1학년,한별공원,서울 동대문구 용두동 9-20 청량리 한별공원,운동기구와 놀이터가 같이 설치되어 있어 아이들과 어른들 모두 즐길 수 있는 공원입니다 넓은 쉼터도 있습니다.
30,1학년,텃골근린공원,서울 동대문구 690-1 텃골근린공원,산책로가 잘 되어 있고 나무도 많으며 작은 놀이터와 운동기두 작은 쉼터가 있습니다. 가족끼리 산책하거나 강아지 산책시키기 좋은 곳 같아요.
31,1학년,뽀꼬팡,서울 동대문구 전농동 620-60 뽀꼬팡,가족이나 친구들과 함께 인형뽑기 할 수 있는 곳이다. 하다보면 스트레스도 없어지고 인형도 뽑고 기분이 좋아진다.
